# COLUMN1: CALIFA_ID  , int    , the ID of the CALIFA galaxy 
# COLUMN2: name       , string , Galaxy name 
# COLUMN3: db_name    , string , Name in CALIFA database 
# COLUMN4: RA, float  , degrees, right ascension J2000.0 
# COLUMN5: DE, float  , degrees, declination J2000.0
# COLUMN6: hubble_type, int    , Hubble type (see accompanying text file)
# COLUMN7: bar        , int    , Barredness A (0) or AB (1) or B (2)
# COLUMN8: merger     , int    , Merging (1) or Isolated (0)
#CALIFA_ID                 name              db_name         RA        DEC    hubble_type      bar       merger
#
       282              NGC2927              NGC2927  144.31332   23.59061         13          2          0 
       283              NGC2929              NGC2929  144.37431   23.16161         14          1          0 
       284              NGC2939              NGC2939  144.53287    9.52391         13          0          0 
       285              NGC2943              NGC2943  144.63695   17.03130          5          0          0 
       286              NGC2942              NGC2942  144.78319   34.00632         14          1          0 
       287             UGC05145             UGC05145  144.89470   48.42194         11          0          0 
       288              NGC2954              NGC2954  145.10039   14.92262          5          0          0 
       289             UGC05164             UGC05164  145.20801   11.55415         14          1          1 
       290             UGC05157             UGC05157  145.24223   47.62045         14          1          0 
       291              NGC2955              NGC2955  145.31926   35.88226         13          0          0 
       292              NGC2968              NGC2968  145.80002   31.92870         10          0          0 
       293              NGC2965              NGC2965  145.82980   36.24782          4          0          0 
       294              NGC2959              NGC2959  146.28738   68.59457         11          2          0 
       295             UGC05215             UGC05215  146.30998    9.11034         13          1          0 
       296               IC0565               IC0565  146.96014   15.85204         11          1          1 
       297             UGC05244             UGC05244  147.19908   64.16690         13          0          0 
       298             UGC05267             UGC05267  147.47029    9.09576         12          0          0 
       299              NGC3021              NGC3021  147.73813   33.55362         13          1          0 
       300             UGC05315             UGC05315  148.56081   37.29886         14          0          0 
       301             UGC05320             UGC05320  148.57405   23.28748         13          2          0 
       302              NGC3053              NGC3053  148.89005   16.43286         12          1          0 
       303              NGC3043              NGC3043  149.06175   59.30717         14          1          0 
       304              NGC3060              NGC3060  149.07986   16.83119         11          1          0 
       305              NGC3070              NGC3070  149.52893   10.35978          2          0          0 
       306             UGC05358             UGC05358  149.69640   11.38870         16          2          0 
       307             UGC05359             UGC05359  149.71519   19.21498         12          2          0 
       308              NGC3075              NGC3075  149.73450   14.41878         15          0          0 
       309             UGC05396             UGC05396  150.41867   10.75643         13          1          0 
       310 SDSSJ100141.02+371447.4 SDSSJ100141.02+371447.4  150.42149   37.24769         18          1          0 
       311              NGC3106              NGC3106  151.02188   31.18546         11          0          0 
       312              NGC3057              NGC3057  151.41461   80.28667         17          2          0 
       313             UGC05481             UGC05481  152.46439   30.32087         12          0          0 
       314        UGC05498NED01        UGC05498NED01  153.01524   23.08544         10          0          1 
       315             UGC05499             UGC05499  153.07350   27.86206         13          1          0 
       316               IC0598               IC0598  153.20236   43.14553          9          0          0 
       317              NGC3153              NGC3153  153.21045   12.66659         16          2          0 
       318              NGC3158              NGC3158  153.46048   38.76490          3          0          0 
       319              NGC3160              NGC3160  153.47964   38.84293         11          1          0 
       320             UGC05520             UGC05520  153.75180   65.13992         15          2          0 
       321             UGC05529             UGC05529  153.76619   21.17418         14          1          0 
       322              NGC3179              NGC3179  154.48836   41.11430         11          2          0 
       323              NGC3182              NGC3182  154.88763   58.20573          7          0          0 
       324              NGC3209              NGC3209  155.16008   25.50506          4          0          0 
       325             UGC05597             UGC05597  155.46909   23.86083         11          0          0 
       326             UGC05598             UGC05598  155.55835   20.58941         12          0          0 
       327             UGC05604             UGC05604  155.66969   46.23868         14          2          0 
       328              NGC3230              NGC3230  155.93318   12.56776          9          1          0 
       329             UGC05642             UGC05642  156.42433   11.73912         13          0          0 
       330              NGC3237              NGC3237  156.43039   39.64637          8          2          0 
       331             UGC05657             UGC05657  156.71581   41.88860         13          1          0 
       332              NGC3251              NGC3251  157.32016   26.09923         12          1          0 
       333             UGC05680             UGC05680  157.35841   60.29556          9          0          0 
       334             UGC05695             UGC05695  157.44492   13.01817         15          0          0 
       335             UGC05693             UGC05693  157.45700   39.01257         12          0          0 
       336             UGC05713             UGC05713  157.91203   25.98391         12          1          0 
       337             UGC05727             UGC05727  158.34518   64.50163         15          0          0 
       338             UGC05760             UGC05760  159.08879   13.71148         14          0          0 
       339              NGC3300              NGC3300  159.16019   14.17110          9          2          0 
       340              NGC3303              NGC3303  159.25038   18.13589          9          1          1 
       341             UGC05771             UGC05771  159.33058   43.58759          6          0          0 
       342              NGC3304              NGC3304  159.40796   37.45564         11          1          0 
       343              NGC3320              NGC3320  159.90210   47.39791         15          1          0 
       344              NGC3332              NGC3332  160.11823    9.18255          4          0          0 
       345              NGC3334              NGC3334  160.37999   37.31284          1          0          0 
       346             UGC05820             UGC05820  160.87141   80.89114         13          0          0 
       347              NGC3352              NGC3352  161.06221   22.37118          6          0          0 
       348             UGC05855             UGC05855  161.15396   26.18169         13          1          0 
       349             UGC05859             UGC05859  161.26169   43.70473         10          2          0 
       350              NGC3363              NGC3363  161.28940   22.07849         13          0          0 
       351             UGC05894             UGC05894  161.91402   26.29482         13          2          0 
       352               IC0642               IC0642  162.03384   18.18869          6          0          0 
       353              NGC3381              NGC3381  162.10342   34.71141         16          2          0 
       354             UGC05924             UGC05924  162.30055   22.01598         11          1          0 
       355              NGC3395              NGC3395  162.45824   32.98010         15          1          1 
       356             UGC05957             UGC05957  162.79477   20.17043         13          1          0 
       357             NGC3419A             NGC3419A  162.83305   14.02344         14          0          0 
       358              NGC3426              NGC3426  162.92395   18.48082          7          0          0 
       359              NGC3415              NGC3415  162.92747   43.71262         10          1          0 
       360         NGC3406NED01         NGC3406NED01  162.93179   51.02216          8          0          1 
       361             UGC05990             UGC05990  163.15976   34.48314         14          0          0 
       362              NGC3440              NGC3440  163.45619   57.11866         16          0          0 
       363              NGC3462              NGC3462  163.83772    7.69675          8          1          0 
       364             UGC06036             UGC06036  163.98026   36.86152         10          0          0 
       365              NGC3468              NGC3468  164.37988   40.94615          8          1          0 
       366             UGC06062             UGC06062  164.65652    9.05045          9          2          0 
       367             UGC06063             UGC06063  164.69029   25.14093         13          1          0 
       368              NGC3471              NGC3471  164.78749   61.53067         12          1          0 
       369              NGC3488              NGC3488  165.34837   57.67764         14          1          0 
       370             UGC06104             UGC06104  165.46234   16.60695         15          0          0 
       371             UGC06106             UGC06106  165.54663   45.88898         12          2          0 
       372             UGC06136             UGC06136  166.15295   45.98528         14          1          1 
       373             UGC06148             UGC06148  166.49199   36.40712         10          0          0 
       374             UGC06176             UGC06176  166.85284   21.65708         10          1          0 
       375              NGC3540              NGC3540  167.31700   36.02108          8          2          0 
       376             UGC06199             UGC06199  167.46564   62.29184         12          1          0 
       377             UGC06207             UGC06207  167.47690   24.25693         14          1          1 
       378              NGC3547              NGC3547  167.48309   10.72084         15          1          0 
       379              NGC3543              NGC3543  167.73523   61.34703         14          0          0 
       380             UGC06219             UGC06219  167.73827   19.18276         11          0          0 
       381               IC0674               IC0674  167.77650   43.63300         11          2          0 
       382              NGC3561              NGC3561  167.80496   28.69640          5          1          1 
       383             UGC06256             UGC06256  168.48453   65.17756         13          0          0 
       384               IC0677               IC0677  168.48540   12.30107         14          0          0 
       385             UGC06273             UGC06273  168.71355   35.50226         12          0          0 
       386             UGC06312             UGC06312  169.50081    7.84489         11          0          0 
       387              NGC3615              NGC3615  169.52774   23.39732          5          0          0 
       388              NGC3614              NGC3614  169.58887   45.74817         13          1          0 
       389              NGC3610              NGC3610  169.60530   58.78625          6          0          0 
       390             UGC06332             UGC06332  169.81923   20.81355         10          2          0 
       391              NGC3619              NGC3619  169.83981   57.75781          9          0          0 
       392             UGC06336             UGC06336  169.91418   24.92954         11          1          0 
       393              NGC3625              NGC3625  170.13055   57.78141         14          2          0 
       394              NGC3629              NGC3629  170.13252   26.96336         15          1          0 
       395             UGC06355             UGC06355  170.16632   31.22197         16          0          0 
       396          CGCG126-035          CGCG126-035  170.25131   24.30335          9          1          0 
       397             UGC06380             UGC06380  170.50938   50.59372         12          0          0 
       398             UGC06383             UGC06383  170.51085   42.81926         15          0          0 
       399              NGC3649              NGC3649  170.56143   20.20843         11          2          0 
       400              NGC3642              NGC3642  170.57455   59.07452         12          0          0 
       401               IC2763               IC2763  170.57733   13.06505         15          0          0 
       402              NGC3648              NGC3648  170.63130   39.87688          7          0          0 
       403              NGC3650              NGC3650  170.64746   20.70392         10          1          0 
       404              NGC3652              NGC3652  170.66261   37.76511         14          2          0 
       405             UGC06397             UGC06397  170.75879   34.49770         12          1          0 
       406              NGC3656              NGC3656  170.91103   53.84213         10          1          1 
